r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.873843193054199219e-01,9.873843193054199219e-01,5.192818045616149902e-01,9.873843193054199219e-01,7.708029270172119141e+00,4.923077106475830078e+00,0.000000000000000000e+00,3.770000000000000000e+02,3.000000000000000000e+00,2.270000000000000000e+02,1.000000000000000000e+00,1.211978793144226074e-01,3.906250000000000000e-02,4.519999921321868896e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.129673004150390625e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.150314569473266602e-01,9.855710268020629883e-01,7.258064746856689453e+00,4.454545497894287109e+00,0.000000000000000000e+00,3.660000000000000000e+02,3.000000000000000000e+00,1.950000000000000000e+02,0.000000000000000000e+00,1.240419000387191772e-01,7.969634234905242920e-02,5.040000081062316895e-01,0.000000000000000000e+00,9.774113893508911133e-01,6.248170471191406250e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.255260467529296875e-01,9.873843193054199219e-01,7.501831531524658203e+00,5.214285850524902344e+00,0.000000000000000000e+00,3.580000000000000000e+02,5.000000000000000000e+00,2.040000000000000000e+02,1.000000000000000000e+00,1.273554414510726929e-01,4.687500000000000000e-02,4.539999961853027344e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.356689071655273438e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.147418975830078125e-01,9.873843193054199219e-01,7.312252998352050781e+00,5.285714149475097656e+00,0.000000000000000000e+00,3.710000000000000000e+02,5.000000000000000000e+00,2.190000000000000000e+02,3.000000000000000000e+00,1.313760429620742798e-01,8.231085538864135742e-02,4.939999878406524658e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.468365478515625000e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.111885070800781250e-01,9.873843193054199219e-01,6.917603015899658203e+00,4.307692527770996094e+00,0.000000000000000000e+00,3.520000000000000000e+02,2.000000000000000000e+00,2.010000000000000000e+02,1.000000000000000000e+00,1.388009339570999146e-01,3.906250000000000000e-02,4.659999907016754150e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.580384063720703125e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.130446553230285645e-01,9.873843193054199219e-01,7.377862453460693359e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.660000000000000000e+02,1.000000000000000000e+00,2.290000000000000000e+02,0.000000000000000000e+00,1.446620225906372070e-01,3.515625000000000000e-02,4.760000109672546387e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.691606903076171875e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.007263422012329102e-01,9.873843193054199219e-01,7.651340961456298828e+00,4.900000095367431641e+00,0.000000000000000000e+00,3.700000000000000000e+02,3.000000000000000000e+00,2.350000000000000000e+02,1.000000000000000000e+00,1.509243100881576538e-01,9.565443545579910278e-02,4.779999852180480957e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.807611846923828125e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.329754352569580078e-01,9.873843193054199219e-01,7.185770988464355469e+00,4.812500000000000000e+00,0.000000000000000000e+00,3.690000000000000000e+02,4.000000000000000000e+00,2.290000000000000000e+02,2.000000000000000000e+00,1.616130471229553223e-01,1.157413795590400696e-01,4.939999878406524658e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.915078735351562500e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.040391087532043457e-01,9.661792516708374023e-01,7.530534267425537109e+00,4.500000000000000000e+00,0.000000000000000000e+00,3.710000000000000000e+02,3.000000000000000000e+00,2.370000000000000000e+02,1.000000000000000000e+00,1.703806370496749878e-01,1.099711135029792786e-01,4.760000109672546387e-01,0.000000000000000000e+00,7.753339409828186035e-01,7.028162384033203125e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.184804201126098633e-01,9.873843193054199219e-01,7.342205524444580078e+00,4.833333492279052734e+00,0.000000000000000000e+00,3.820000000000000000e+02,3.000000000000000000e+00,2.310000000000000000e+02,1.000000000000000000e+00,1.590834558010101318e-01,9.029818326234817505e-02,4.740000069141387939e-01,0.000000000000000000e+00,9.873843193054199219e-01,7.140882110595703125e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.132932066917419434e-01,9.873843193054199219e-01,7.375912189483642578e+00,4.272727489471435547e+00,0.000000000000000000e+00,3.690000000000000000e+02,2.000000000000000000e+00,2.220000000000000000e+02,0.000000000000000000e+00,1.539927870035171509e-01,4.296875000000000000e-02,4.519999921321868896e-01,0.000000000000000000e+00,9.873843193054199219e-01,7.249080657958984375e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.191500186920166016e-01,9.873843193054199219e-01,6.782258033752441406e+00,4.454545497894287109e+00,0.000000000000000000e+00,3.380000000000000000e+02,2.000000000000000000e+00,1.920000000000000000e+02,1.000000000000000000e+00,1.471345573663711548e-01,3.515625000000000000e-02,5.040000081062316895e-01,0.000000000000000000e+00,9.873843193054199219e-01,7.360999298095703125e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.196023583412170410e-01,9.873843193054199219e-01,7.333333492279052734e+00,4.833333492279052734e+00,0.000000000000000000e+00,3.770000000000000000e+02,4.000000000000000000e+00,2.190000000000000000e+02,1.000000000000000000e+00,1.446831822395324707e-01,3.906250000000000000e-02,5.260000228881835938e-01,0.000000000000000000e+00,9.873843193054199219e-01,7.467617797851562500e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.098711848258972168e-01,9.873843193054199219e-01,7.268817424774169922e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.620000000000000000e+02,1.000000000000000000e+00,2.040000000000000000e+02,0.000000000000000000e+00,1.405243724584579468e-01,3.906250000000000000e-02,4.420000016689300537e-01,0.000000000000000000e+00,9.873843193054199219e-01,7.581468200683593750e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.250279307365417480e-01,9.873843193054199219e-01,7.753846168518066406e+00,5.176470756530761719e+00,0.000000000000000000e+00,3.660000000000000000e+02,5.000000000000000000e+00,2.170000000000000000e+02,2.000000000000000000e+00,1.431856453418731689e-01,4.687500000000000000e-02,4.799999892711639404e-01,0.000000000000000000e+00,9.873843193054199219e-01,7.697409820556640625e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.141310095787048340e-01,9.675351977348327637e-01,7.280632495880126953e+00,6.699999809265136719e+00,0.000000000000000000e+00,3.610000000000000000e+02,6.000000000000000000e+00,2.060000000000000000e+02,3.000000000000000000e+00,1.388639807701110840e-01,9.956457465887069702e-02,4.939999878406524658e-01,0.000000000000000000e+00,8.188078403472900391e-01,7.808966064453125000e+01
